,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
52,"Fri, Dec 9, 2022",7:00p,New York Knicks,,Charlotte Hornets,,,,,Spectrum Center,
53,"Fri, Dec 9, 2022",7:00p,Washington Wizards,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
54,"Fri, Dec 9, 2022",7:00p,Toronto Raptors,,Orlando Magic,,,,,Amway Center,
55,"Fri, Dec 9, 2022",7:30p,Atlanta Hawks,,Brooklyn Nets,,,,,Barclays Center,
56,"Fri, Dec 9, 2022",7:30p,Sacramento Kings,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
57,"Fri, Dec 9, 2022",7:30p,Los Angeles Lakers,,Philadelphia 76ers,,,,,Wells Fargo Center,
58,"Fri, Dec 9, 2022",8:00p,Detroit Pistons,,Memphis Grizzlies,,,,,FedEx Forum,
59,"Fri, Dec 9, 2022",8:30p,Phoenix Suns,,New Orleans Pelicans,,,,,Smoothie King Center,
60,"Fri, Dec 9, 2022",9:00p,Minnesota Timberwolves,,Utah Jazz,,,,,Vivint Arena,
61,"Fri, Dec 9, 2022",10:00p,Milwaukee Bucks,,Dallas Mavericks,,,,,American Airlines Center,
