,Rk,Wk,Date,Time,Day,Winner,Pts,Unnamed: 7,Loser,Pts.1,Notes
36,36,2,"Sep 3, 2022",1:00 PM,Sat,Air Force,48,,Northern Iowa,17,
37,37,2,"Sep 3, 2022",7:30 PM,Sat,(1) Alabama,55,,Utah State,0,
38,38,2,"Sep 3, 2022",3:30 PM,Sat,Arizona,38,@,San Diego State,20,
39,39,2,"Sep 3, 2022",3:30 PM,Sat,(19) Arkansas,31,,(23) Cincinnati,24,
40,40,2,"Sep 3, 2022",7:00 PM,Sat,Arkansas State,58,,Grambling State,3,
41,41,2,"Sep 3, 2022",7:00 PM,Sat,Auburn,42,,Mercer,16,
42,42,2,"Sep 3, 2022",7:00 PM,Sat,(10) Baylor,69,,Albany,10,
43,43,2,"Sep 3, 2022",4:00 PM,Sat,(25) Brigham Young,50,@,South Florida,21,
44,44,2,"Sep 3, 2022",4:00 PM,Sat,California,34,,California-Davis,13,
45,45,2,"Sep 3, 2022",7:00 PM,Sat,Coastal Carolina,38,,Army,28,
46,46,2,"Sep 3, 2022",12:00 PM,Sat,Connecticut,28,,Central Connecticut State,3,
47,47,2,"Sep 3, 2022",12:00 PM,Sat,Delaware,14,@,Navy,7,
48,48,2,"Sep 3, 2022",7:00 PM,Sat,Florida,29,,(7) Utah,26,
49,49,2,"Sep 3, 2022",3:30 PM,Sat,(3) Georgia,49,N,(11) Oregon,3,
50,50,2,"Sep 3, 2022",6:00 PM,Sat,Georgia Southern,59,,Morgan State,7,
51,51,2,"Sep 3, 2022",3:30 PM,Sat,(24) Houston,37,@,Texas-San Antonio,35,
52,52,2,"Sep 3, 2022",12:00 PM,Sat,Iowa,7,,South Dakota State,3,
53,53,2,"Sep 3, 2022",2:00 PM,Sat,Iowa State,42,,Southeast Missouri State,10,
54,54,2,"Sep 3, 2022",6:00 PM,Sat,James Madison,44,,Middle Tennessee State,7,
55,55,2,"Sep 3, 2022",7:00 PM,Sat,Kansas State,34,,South Dakota,0,
56,56,2,"Sep 3, 2022",7:00 PM,Sat,(20) Kentucky,37,,Miami (OH),13,
57,57,2,"Sep 3, 2022",7:00 PM,Sat,Liberty,29,@,Southern Mississippi,27,
58,58,2,"Sep 3, 2022",7:00 PM,Sat,Louisiana,24,,Southeastern Louisiana,7,
59,59,2,"Sep 3, 2022",3:30 PM,Sat,Marshall,55,,Norfolk State,3,
60,60,2,"Sep 3, 2022",12:00 PM,Sat,Maryland,31,,Buffalo,10,
61,61,2,"Sep 3, 2022",3:30 PM,Sat,(16) Miami (FL),70,,Bethune-Cookman,13,
62,62,2,"Sep 3, 2022",12:00 PM,Sat,(8) Michigan,51,,Colorado State,7,
63,63,2,"Sep 3, 2022",4:00 PM,Sat,(21) Mississippi,28,,Troy,10,
64,64,2,"Sep 3, 2022",7:30 PM,Sat,Mississippi State,49,,Memphis,23,
65,65,2,"Sep 3, 2022",3:30 PM,Sat,Nebraska,38,,North Dakota,17,
66,66,2,"Sep 3, 2022",5:30 PM,Sat,Nevada,38,,Texas State,14,
67,67,2,"Sep 3, 2022",8:00 PM,Sat,New Mexico,41,,Maine,0,
68,68,2,"Sep 3, 2022",12:00 PM,Sat,North Carolina,63,@,Appalachian State,61,
69,69,2,"Sep 3, 2022",12:00 PM,Sat,(13) North Carolina State,21,@,East Carolina,20,
70,70,2,"Sep 3, 2022",6:00 PM,Sat,Ohio,41,,Florida Atlantic,38,
71,71,2,"Sep 3, 2022",7:30 PM,Sat,(2) Ohio State,21,,(5) Notre Dame,10,
72,72,2,"Sep 3, 2022",3:30 PM,Sat,(9) Oklahoma,45,,Texas-El Paso,13,
73,73,2,"Sep 3, 2022",10:30 PM,Sat,Oregon State,34,,Boise State,17,
74,74,2,"Sep 3, 2022",12:00 PM,Sat,Rutgers,22,@,Boston College,21,
75,75,2,"Sep 3, 2022",5:00 PM,Sat,South Alabama,48,,Nicholls State,7,
76,76,2,"Sep 3, 2022",7:30 PM,Sat,South Carolina,35,,Georgia State,14,
77,77,2,"Sep 3, 2022",6:00 PM,Sat,(14) Southern California,66,,Rice,14,
78,78,2,"Sep 3, 2022",7:30 PM,Sat,Southern Methodist,48,@,North Texas,10,
79,79,2,"Sep 3, 2022",8:00 PM,Sat,Stanford,41,,Colgate,10,
80,80,2,"Sep 3, 2022",8:00 PM,Sat,Syracuse,31,,Louisville,7,
81,81,2,"Sep 3, 2022",8:00 PM,Sat,Texas,52,,Louisiana-Monroe,10,
82,82,2,"Sep 3, 2022",12:00 PM,Sat,(6) Texas A&M,31,,Sam Houston State,0,
83,83,2,"Sep 3, 2022",8:00 PM,Sat,Texas Tech,63,,Murray State,10,
84,84,2,"Sep 3, 2022",7:00 PM,Sat,Tulane,42,,Massachusetts,10,
85,85,2,"Sep 3, 2022",2:30 PM,Sat,UCLA,45,,Bowling Green,17,
86,86,2,"Sep 3, 2022",7:00 PM,Sat,Vanderbilt,42,,Elon,31,
87,87,2,"Sep 3, 2022",12:30 PM,Sat,Virginia,34,,Richmond,17,
88,88,2,"Sep 3, 2022",10:30 PM,Sat,Washington,45,,Kent State,20,
89,89,2,"Sep 3, 2022",9:30 PM,Sat,Washington State,24,,Idaho,17,
90,90,2,"Sep 3, 2022",7:00 PM,Sat,(18) Wisconsin,38,,Illinois State,0,
91,91,2,"Sep 3, 2022",3:30 PM,Sat,Wyoming,40,,Tulsa,37,
